grid_size,impl,num_threads,iteration,result
4096,pth,32,29,1.995838
4096,pth,32,30,1.987123
4096,omp,2,1,5.545362
4096,omp,2,2,5.519000
4096,omp,2,3,5.567404
4096,omp,2,4,5.554072
4096,omp,2,5,5.527081
4096,omp,2,6,5.533683
4096,omp,2,7,5.531062
4096,omp,2,8,5.527834
4096,omp,2,9,5.550646
4096,omp,2,10,5.524154
4096,omp,2,11,5.520151
4096,omp,2,12,5.534869
4096,omp,2,13,5.567610
4096,omp,2,14,5.547046
4096,omp,2,15,5.541999
4096,omp,2,16,5.536898
4096,omp,2,17,5.532848
4096,omp,2,18,5.542390
4096,omp,2,19,5.510254
4096,omp,2,20,5.533052
4096,omp,2,21,5.525507
4096,omp,2,22,5.524487
4096,omp,2,23,5.540488
4096,omp,2,24,5.559521
4096,omp,2,25,5.564407
4096,omp,2,26,5.534561
4096,omp,2,27,5.533752
4096,omp,2,28,5.524658
4096,omp,2,29,5.521594
4096,omp,2,30,5.588904
4096,omp,8,1,2.727654
4096,omp,8,2,2.705978
4096,omp,8,3,2.711933
4096,omp,8,4,2.710486
4096,omp,8,5,2.711293
4096,omp,8,6,2.706714
4096,omp,8,7,2.719871
4096,omp,8,8,2.715784
4096,omp,8,9,2.708366
4096,omp,8,10,2.710468
4096,omp,8,11,2.701909
4096,omp,8,12,2.704581
4096,omp,8,13,2.703824
4096,omp,8,14,2.706628
4096,omp,8,15,2.707995
4096,omp,8,16,2.704591
4096,omp,8,17,2.705851
4096,omp,8,18,2.707621
4096,omp,8,19,2.707755
4096,omp,8,20,2.705197
4096,omp,8,21,2.708249
4096,omp,8,22,2.705970
4096,omp,8,23,2.707465
4096,omp,8,24,2.708462
4096,omp,8,25,2.707255
4096,omp,8,26,2.706619
4096,omp,8,27,2.704783
4096,omp,8,28,2.704475
4096,omp,8,29,2.708111
4096,omp,8,30,2.706600
4096,omp,32,1,1.965498
4096,omp,32,2,1.962833
4096,omp,32,3,1.972002
4096,omp,32,4,1.950432
4096,omp,32,5,1.965459
4096,omp,32,6,1.952824
4096,omp,32,7,1.964963
4096,omp,32,8,1.963512
4096,omp,32,9,1.969173
4096,omp,32,10,1.965406
4096,omp,32,11,1.960732
4096,omp,32,12,1.972289
4096,omp,32,13,1.961903
4096,omp,32,14,1.951603
4096,omp,32,15,1.978941
4096,omp,32,16,1.960707
4096,omp,32,17,1.962219
4096,omp,32,18,1.960535
4096,omp,32,19,1.951950
4096,omp,32,20,1.954631
4096,omp,32,21,1.962405
4096,omp,32,22,1.970682
4096,omp,32,23,1.962663
4096,omp,32,24,1.968394
4096,omp,32,25,1.952213
4096,omp,32,26,1.958498
4096,omp,32,27,1.967845
4096,omp,32,28,1.951525
4096,omp,32,29,1.960239
4096,omp,32,30,1.950808
